Name,Median Incomes,currency,incomes,zipcoded
Zip Code 10001,Families without Children,Dollars,132545,10001
Zip Code 10001,Families,Dollars,122776,10001
Zip Code 10001,Families with Children,Dollars,106452,10001
Zip Code 10001,All Households,Dollars,92840,10001
Zip Code 10002,Families with Children,Dollars,42054,10002
Zip Code 10002,Families,Dollars,40045,10002
Zip Code 10002,Families without Children,Dollars,38639,10002
Zip Code 10002,All Households,Dollars,36982,10002
Zip Code 10003,All Households,Dollars,118161,10003
Zip Code 10003,Families,Dollars,183787,10003
Zip Code 10003,Families without Children,Dollars,153480,10003
Zip Code 10003,Families with Children,Dollars,250001,10003
Zip Code 10004,Families,Dollars,205202,10004
Zip Code 10004,Families without Children,Dollars,204130,10004
Zip Code 10004,Families with Children,Dollars,244000,10004
Zip Code 10004,All Households,Dollars,190223,10004
Zip Code 10005,All Households,Dollars,189702,10005
Zip Code 10005,Families,Dollars,241094,10005
Zip Code 10005,Families with Children,Dollars,250001,10005
Zip Code 10005,Families without Children,Dollars,202042,10005
Zip Code 10006,Families without Children,Dollars,196500,10006
Zip Code 10006,Families with Children,Dollars,250001,10006
Zip Code 10006,Families,Dollars,245764,10006
Zip Code 10006,All Households,Dollars,179044,10006
Zip Code 10007,Families,Dollars,250001,10007
Zip Code 10007,Families without Children,Dollars,250001,10007
Zip Code 10007,Families with Children,Dollars,250001,10007
Zip Code 10007,All Households,Dollars,224063,10007
Zip Code 10009,Families with Children,Dollars,76618,10009
Zip Code 10009,Families,Dollars,71135,10009
Zip Code 10009,Families without Children,Dollars,68646,10009
Zip Code 10009,All Households,Dollars,63717,10009
Zip Code 10010,Families,Dollars,229709,10010
Zip Code 10010,Families with Children,Dollars,250001,10010
Zip Code 10010,Families without Children,Dollars,204877,10010
Zip Code 10010,All Households,Dollars,132988,10010
Zip Code 10011,All Households,Dollars,138272,10011
Zip Code 10011,Families without Children,Dollars,207181,10011
Zip Code 10011,Families with Children,Dollars,250001,10011
Zip Code 10011,Families,Dollars,249545,10011
Zip Code 10012,Families without Children,Dollars,145000,10012
Zip Code 10012,Families,Dollars,151028,10012
Zip Code 10012,Families with Children,Dollars,166534,10012
Zip Code 10012,All Households,Dollars,106467,10012
Zip Code 10013,Families without Children,Dollars,104234,10013
Zip Code 10013,Families,Dollars,163951,10013
Zip Code 10013,All Households,Dollars,113191,10013
Zip Code 10013,Families with Children,Dollars,250001,10013
Zip Code 10014,Families with Children,Dollars,250001,10014
Zip Code 10014,Families,Dollars,224625,10014
Zip Code 10014,Families without Children,Dollars,191483,10014
Zip Code 10014,All Households,Dollars,133501,10014
Zip Code 10016,All Households,Dollars,126628,10016
Zip Code 10016,Families,Dollars,206816,10016
Zip Code 10016,Families without Children,Dollars,205769,10016
Zip Code 10016,Families with Children,Dollars,230733,10016
Zip Code 10017,Families with Children,Dollars,250001,10017
Zip Code 10017,Families,Dollars,218875,10017
Zip Code 10017,Families without Children,Dollars,218161,10017
Zip Code 10017,All Households,Dollars,131045,10017
Zip Code 10018,All Households,Dollars,122484,10018
Zip Code 10018,Families,Dollars,185688,10018
Zip Code 10018,Families without Children,Dollars,190417,10018
Zip Code 10019,All Households,Dollars,103792,10019
Zip Code 10019,Families,Dollars,176972,10019
Zip Code 10019,Families without Children,Dollars,180424,10019
Zip Code 10019,Families with Children,Dollars,167896,10019
Zip Code 10021,All Households,Dollars,122169,10021
Zip Code 10021,Families with Children,Dollars,250001,10021
Zip Code 10021,Families without Children,Dollars,238064,10021
Zip Code 10021,Families,Dollars,240453,10021
Zip Code 10022,Families with Children,Dollars,250001,10022
Zip Code 10022,Families without Children,Dollars,250001,10022
Zip Code 10022,Families,Dollars,250001,10022
Zip Code 10022,All Households,Dollars,150718,10022
Zip Code 10023,All Households,Dollars,132605,10023
Zip Code 10023,Families with Children,Dollars,249033,10023
Zip Code 10023,Families,Dollars,228389,10023
Zip Code 10023,Families without Children,Dollars,216875,10023
Zip Code 10024,Families without Children,Dollars,218864,10024
