"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USS0020H06S","CEDAR PASS, CA US","2020-01-01","33","37","27","27"
"USS0020H06S","CEDAR PASS, CA US","2020-01-02","28","33","26","30"
"USS0020H06S","CEDAR PASS, CA US","2020-01-03","40","51","30","35"
"USS0020H06S","CEDAR PASS, CA US","2020-01-04","29","35","25","26"
"USS0020H06S","CEDAR PASS, CA US","2020-01-05","25","27","22","24"
"USS0020H06S","CEDAR PASS, CA US","2020-01-06","29","38","22","33"
"USS0020H06S","CEDAR PASS, CA US","2020-01-07","34","42","26","26"
"USS0020H06S","CEDAR PASS, CA US","2020-01-08","25","30","24","25"
"USS0020H06S","CEDAR PASS, CA US","2020-01-09","22","25","16","17"
"USS0020H06S","CEDAR PASS, CA US","2020-01-10","24","33","16","26"
"USS0020H06S","CEDAR PASS, CA US","2020-01-11","23","26","18","18"
"USS0020H06S","CEDAR PASS, CA US","2020-01-12","22","24","18","24"
"USS0020H06S","CEDAR PASS, CA US","2020-01-13","23","26","21","25"
"USS0020H06S","CEDAR PASS, CA US","2020-01-14","21","25","18","20"
"USS0020H06S","CEDAR PASS, CA US","2020-01-15","22","27","15","24"
"USS0020H06S","CEDAR PASS, CA US","2020-01-16","24","28","20","20"
"USS0020H06S","CEDAR PASS, CA US","2020-01-17","20","23","19","22"
"USS0020H06S","CEDAR PASS, CA US","2020-01-18","29","35","21","32"
"USS0020H06S","CEDAR PASS, CA US","2020-01-19","35","38","31","35"
"USS0020H06S","CEDAR PASS, CA US","2020-01-20","37","41","31","31"
"USS0020H06S","CEDAR PASS, CA US","2020-01-21","30","33","28","29"
"USS0020H06S","CEDAR PASS, CA US","2020-01-22","31","34","28","34"
"USS0020H06S","CEDAR PASS, CA US","2020-01-23","35","38","32","35"
"USS0020H06S","CEDAR PASS, CA US","2020-01-24","32","36","28","30"
"USS0020H06S","CEDAR PASS, CA US","2020-01-25","35","39","29","37"
"USS0020H06S","CEDAR PASS, CA US","2020-01-26","33","37","30","30"
