"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00085359","MARCO ISLAND, FL US","2020-01-01","79","56","56"
"USC00085359","MARCO ISLAND, FL US","2020-01-02","79","56","62"
"USC00085359","MARCO ISLAND, FL US","2020-01-03","82","62","72"
"USC00085359","MARCO ISLAND, FL US","2020-01-04","82","72","74"
"USC00085359","MARCO ISLAND, FL US","2020-01-05","80","55","55"
"USC00085359","MARCO ISLAND, FL US","2020-01-06","70","49","49"
"USC00085359","MARCO ISLAND, FL US","2020-01-07","73","49","54"
"USC00085359","MARCO ISLAND, FL US","2020-01-08","74","54","56"
"USC00085359","MARCO ISLAND, FL US","2020-01-09","74","55","56"
"USC00085359","MARCO ISLAND, FL US","2020-01-10","79","56","65"
"USC00085359","MARCO ISLAND, FL US","2020-01-11","78","65","72"
"USC00085359","MARCO ISLAND, FL US","2020-01-12","82","69","69"
"USC00085359","MARCO ISLAND, FL US","2020-01-13","84","67","67"
"USC00085359","MARCO ISLAND, FL US","2020-01-14","82","67","68"
"USC00085359","MARCO ISLAND, FL US","2020-01-15","83","64","64"
"USC00085359","MARCO ISLAND, FL US","2020-01-16","82","63","63"
"USC00085359","MARCO ISLAND, FL US","2020-01-17","80","63","64"
"USC00085359","MARCO ISLAND, FL US","2020-01-18","82","64","64"
"USC00085359","MARCO ISLAND, FL US","2020-01-19","79","62","62"
"USC00085359","MARCO ISLAND, FL US","2020-01-20","80","62","67"
"USC00085359","MARCO ISLAND, FL US","2020-01-21","72","47","47"
"USC00085359","MARCO ISLAND, FL US","2020-01-22","62","38","38"
"USC00085359","MARCO ISLAND, FL US","2020-01-23","63","38","53"
"USC00085359","MARCO ISLAND, FL US","2020-01-24","78","53","60"
"USC00085359","MARCO ISLAND, FL US","2020-01-25","74","60","60"
"USC00085359","MARCO ISLAND, FL US","2020-01-26","73","50","50"
"USC00085359","MARCO ISLAND, FL US","2020-01-27","70","49","56"
"USC00085359","MARCO ISLAND, FL US","2020-01-28","69","56","63"
"USC00085359","MARCO ISLAND, FL US","2020-01-29","77","54","54"
"USC00085359","MARCO ISLAND, FL US","2020-01-30","71","54","65"
"USC00085359","MARCO ISLAND, FL US","2020-01-31","76","57","57"
"USC00085359","MARCO ISLAND, FL US","2020-02-01","80","57","65"
"USC00085359","MARCO ISLAND, FL US","2020-02-02","67","52","52"
"USC00085359","MARCO ISLAND, FL US","2020-02-03","65","50","50"
"USC00085359","MARCO ISLAND, FL US","2020-02-04","74","50","54"
"USC00085359","MARCO ISLAND, FL US","2020-02-05","79","54","63"
"USC00085359","MARCO ISLAND, FL US","2020-02-06","80","63","71"
"USC00085359","MARCO ISLAND, FL US","2020-02-07","82","65","65"
"USC00085359","MARCO ISLAND, FL US","2020-02-08","70","50","51"
"USC00085359","MARCO ISLAND, FL US","2020-02-09","77","51","59"
"USC00085359","MARCO ISLAND, FL US","2020-02-10","80","59","63"
"USC00085359","MARCO ISLAND, FL US","2020-02-11","85","63","67"
"USC00085359","MARCO ISLAND, FL US","2020-02-12","84","67","70"
"USC00085359","MARCO ISLAND, FL US","2020-02-13","84","70","71"
"USC00085359","MARCO ISLAND, FL US","2020-02-14","83","70","71"
"USC00085359","MARCO ISLAND, FL US","2020-02-15","84","62","62"
"USC00085359","MARCO ISLAND, FL US","2020-02-16","84","62","66"
"USC00085359","MARCO ISLAND, FL US","2020-02-17","83","66","69"
"USC00085359","MARCO ISLAND, FL US","2020-02-18","83","69","69"
"USC00085359","MARCO ISLAND, FL US","2020-02-19","86","69","70"
"USC00085359","MARCO ISLAND, FL US","2020-02-20","84","70","70"
"USC00085359","MARCO ISLAND, FL US","2020-02-21","82","70","72"
"USC00085359","MARCO ISLAND, FL US","2020-02-22","76","49","50"
"USC00085359","MARCO ISLAND, FL US","2020-02-23","79","50","57"
"USC00085359","MARCO ISLAND, FL US","2020-02-24","79","57","59"
"USC00085359","MARCO ISLAND, FL US","2020-02-25","80","59","69"
"USC00085359","MARCO ISLAND, FL US","2020-02-26","83","69","73"
"USC00085359","MARCO ISLAND, FL US","2020-02-27","82","61","61"
"USC00085359","MARCO ISLAND, FL US","2020-02-28","65","48","48"
"USC00085359","MARCO ISLAND, FL US","2020-02-29","66","48","52"
"USC00085359","MARCO ISLAND, FL US","2020-03-01","69","48","48"
"USC00085359","MARCO ISLAND, FL US","2020-03-02","76","48","56"
"USC00085359","MARCO ISLAND, FL US","2020-03-03","80","56","62"
"USC00085359","MARCO ISLAND, FL US","2020-03-04","81","62","70"
"USC00085359","MARCO ISLAND, FL US","2020-03-05","83","70","73"
"USC00085359","MARCO ISLAND, FL US","2020-03-06","82","70","70"
"USC00085359","MARCO ISLAND, FL US","2020-03-07","73","53","54"
"USC00085359","MARCO ISLAND, FL US","2020-03-08","73","52","52"
"USC00085359","MARCO ISLAND, FL US","2020-03-09","75","52","61"
"USC00085359","MARCO ISLAND, FL US","2020-03-10","79","61","61"
"USC00085359","MARCO ISLAND, FL US","2020-03-11","83","61","62"
"USC00085359","MARCO ISLAND, FL US","2020-03-12","80","62","65"
"USC00085359","MARCO ISLAND, FL US","2020-03-13","81","64","64"
"USC00085359","MARCO ISLAND, FL US","2020-03-14","83","64","66"
"USC00085359","MARCO ISLAND, FL US","2020-03-15","85","66","68"
"USC00085359","MARCO ISLAND, FL US","2020-03-16","83","68","68"
"USC00085359","MARCO ISLAND, FL US","2020-03-17","87","67","67"
"USC00085359","MARCO ISLAND, FL US","2020-03-18","83","67","67"
"USC00085359","MARCO ISLAND, FL US","2020-03-19","87","66","66"
"USC00085359","MARCO ISLAND, FL US","2020-03-20","85","66","67"
"USC00085359","MARCO ISLAND, FL US","2020-03-21","86","67","68"
"USC00085359","MARCO ISLAND, FL US","2020-03-22","86","67","67"
"USC00085359","MARCO ISLAND, FL US","2020-03-23","85","67","68"
"USC00085359","MARCO ISLAND, FL US","2020-03-24","84","68","68"
"USC00085359","MARCO ISLAND, FL US","2020-03-25","84","68","73"
"USC00085359","MARCO ISLAND, FL US","2020-03-26","82","73","73"
"USC00085359","MARCO ISLAND, FL US","2020-03-27","82","71","71"
