"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00309593","WYOMING 3 W, NY US","2020-01-01","34","25","25"
"USC00309593","WYOMING 3 W, NY US","2020-01-02","35","25","35"
"USC00309593","WYOMING 3 W, NY US","2020-01-03","45","31","42"
"USC00309593","WYOMING 3 W, NY US","2020-01-04","43","32","33"
"USC00309593","WYOMING 3 W, NY US","2020-01-05","34","26","27"
"USC00309593","WYOMING 3 W, NY US","2020-01-06","33","26","32"
"USC00309593","WYOMING 3 W, NY US","2020-01-07","34","22","25"
"USC00309593","WYOMING 3 W, NY US","2020-01-08","35","23","26"
"USC00309593","WYOMING 3 W, NY US","2020-01-09","27","8","9"
"USC00309593","WYOMING 3 W, NY US","2020-01-10","41","8","39"
"USC00309593","WYOMING 3 W, NY US","2020-01-11","50","38","50"
"USC00309593","WYOMING 3 W, NY US","2020-01-12","63","36","36"
"USC00309593","WYOMING 3 W, NY US","2020-01-13","36","24","31"
"USC00309593","WYOMING 3 W, NY US","2020-01-14","40","30","31"
"USC00309593","WYOMING 3 W, NY US","2020-01-15","50","30","34"
"USC00309593","WYOMING 3 W, NY US","2020-01-16","38","32","32"
"USC00309593","WYOMING 3 W, NY US","2020-01-17","32","6","8"
"USC00309593","WYOMING 3 W, NY US","2020-01-18","14","5","14"
"USC00309593","WYOMING 3 W, NY US","2020-01-19","35","5","26"
"USC00309593","WYOMING 3 W, NY US","2020-01-20","27","6","7"
"USC00309593","WYOMING 3 W, NY US","2020-01-21","18","6","17"
"USC00309593","WYOMING 3 W, NY US","2020-01-22","19","15","16"
"USC00309593","WYOMING 3 W, NY US","2020-01-23","32","15","22"
"USC00309593","WYOMING 3 W, NY US","2020-01-24","43","22","33"
"USC00309593","WYOMING 3 W, NY US","2020-01-25","47","32","35"
"USC00309593","WYOMING 3 W, NY US","2020-01-26","38","29","31"
"USC00309593","WYOMING 3 W, NY US","2020-01-27","33","28","29"
"USC00309593","WYOMING 3 W, NY US","2020-01-28","32","26","28"
"USC00309593","WYOMING 3 W, NY US","2020-01-29","29","20","22"
"USC00309593","WYOMING 3 W, NY US","2020-01-30","24","11","14"
"USC00309593","WYOMING 3 W, NY US","2020-01-31","29","11","22"
"USC00309593","WYOMING 3 W, NY US","2020-02-01","31","22","26"
"USC00309593","WYOMING 3 W, NY US","2020-02-02","32","14","30"
"USC00309593","WYOMING 3 W, NY US","2020-02-03","34","26","34"
"USC00309593","WYOMING 3 W, NY US","2020-02-04","45","31","36"
"USC00309593","WYOMING 3 W, NY US","2020-02-05","37","19","20"
"USC00309593","WYOMING 3 W, NY US","2020-02-06","26","19","20"
"USC00309593","WYOMING 3 W, NY US","2020-02-07","29","20","21"
"USC00309593","WYOMING 3 W, NY US","2020-02-08","23","12","16"
"USC00309593","WYOMING 3 W, NY US","2020-02-09","26","10","25"
"USC00309593","WYOMING 3 W, NY US","2020-02-10","35","25","35"
"USC00309593","WYOMING 3 W, NY US","2020-02-11","35","28","29"
"USC00309593","WYOMING 3 W, NY US","2020-02-12","34","22","26"
"USC00309593","WYOMING 3 W, NY US","2020-02-13","38","24","28"
"USC00309593","WYOMING 3 W, NY US","2020-02-14","32","-2","-1"
"USC00309593","WYOMING 3 W, NY US","2020-02-15","8","-3","6"
"USC00309593","WYOMING 3 W, NY US","2020-02-16","33","4","31"
"USC00309593","WYOMING 3 W, NY US","2020-02-17","33","24","25"
"USC00309593","WYOMING 3 W, NY US","2020-02-18","33","22","32"
"USC00309593","WYOMING 3 W, NY US","2020-02-19","42","25","25"
"USC00309593","WYOMING 3 W, NY US","2020-02-20","27","13","14"
"USC00309593","WYOMING 3 W, NY US","2020-02-21","19","5","7"
"USC00309593","WYOMING 3 W, NY US","2020-02-22","28","6","22"
"USC00309593","WYOMING 3 W, NY US","2020-02-23","38","22","32"
"USC00309593","WYOMING 3 W, NY US","2020-02-24","46","32","36"
"USC00309593","WYOMING 3 W, NY US","2020-02-25","49","32","34"
"USC00309593","WYOMING 3 W, NY US","2020-02-26","35","29","30"
"USC00309593","WYOMING 3 W, NY US","2020-02-27","34","18","19"
"USC00309593","WYOMING 3 W, NY US","2020-02-28","21","15","17"
"USC00309593","WYOMING 3 W, NY US","2020-02-29","23","9","10"
"USC00309593","WYOMING 3 W, NY US","2020-03-01","20","10","18"
"USC00309593","WYOMING 3 W, NY US","2020-03-02","44","17","40"
"USC00309593","WYOMING 3 W, NY US","2020-03-03","48","37","40"
"USC00309593","WYOMING 3 W, NY US","2020-03-04","48","31","32"
"USC00309593","WYOMING 3 W, NY US","2020-03-05","38","28","29"
"USC00309593","WYOMING 3 W, NY US","2020-03-06","42","27","34"
"USC00309593","WYOMING 3 W, NY US","2020-03-07","34","19","20"
"USC00309593","WYOMING 3 W, NY US","2020-03-08","34","19","34"
"USC00309593","WYOMING 3 W, NY US","2020-03-09","53","34","47"
"USC00309593","WYOMING 3 W, NY US","2020-03-10","61","47","49"
"USC00309593","WYOMING 3 W, NY US","2020-03-11","51","25","26"
"USC00309593","WYOMING 3 W, NY US","2020-03-12","39","25","37"
"USC00309593","WYOMING 3 W, NY US","2020-03-13","50","36","49"
"USC00309593","WYOMING 3 W, NY US","2020-03-14","50","29","30"
"USC00309593","WYOMING 3 W, NY US","2020-03-15","35","26","27"
"USC00309593","WYOMING 3 W, NY US","2020-03-16","35","19","20"
"USC00309593","WYOMING 3 W, NY US","2020-03-17","50","19","38"
"USC00309593","WYOMING 3 W, NY US","2020-03-18","42","28","28"
"USC00309593","WYOMING 3 W, NY US","2020-03-19","48","27","40"
"USC00309593","WYOMING 3 W, NY US","2020-03-20","62","39","62"
"USC00309593","WYOMING 3 W, NY US","2020-03-21","64","23","24"
"USC00309593","WYOMING 3 W, NY US","2020-03-22","31","15","18"
"USC00309593","WYOMING 3 W, NY US","2020-03-23","35","17","34"
"USC00309593","WYOMING 3 W, NY US","2020-03-24","36","30","31"
"USC00309593","WYOMING 3 W, NY US","2020-03-25","37","30","32"
"USC00309593","WYOMING 3 W, NY US","2020-03-26","51","31","42"
"USC00309593","WYOMING 3 W, NY US","2020-03-27","60","35","35"
"USC00309593","WYOMING 3 W, NY US","2020-03-28","50","35","41"
"USC00309593","WYOMING 3 W, NY US","2020-03-29","51","40","51"
"USC00309593","WYOMING 3 W, NY US","2020-03-30","70","42","43"
"USC00309593","WYOMING 3 W, NY US","2020-03-31","43","35","36"
"USC00309593","WYOMING 3 W, NY US","2020-04-01","42","28","29"
"USC00309593","WYOMING 3 W, NY US","2020-04-02","43","28","34"
"USC00309593","WYOMING 3 W, NY US","2020-04-03","50","33","33"
"USC00309593","WYOMING 3 W, NY US","2020-04-04","40","32","40"
"USC00309593","WYOMING 3 W, NY US","2020-04-05","50","37","44"
"USC00309593","WYOMING 3 W, NY US","2020-04-06","48","29","30"
"USC00309593","WYOMING 3 W, NY US","2020-04-07","53","28","36"
"USC00309593","WYOMING 3 W, NY US","2020-04-08","61","35","40"
"USC00309593","WYOMING 3 W, NY US","2020-04-09","50","40","42"
"USC00309593","WYOMING 3 W, NY US","2020-04-10","44","28","29"
"USC00309593","WYOMING 3 W, NY US","2020-04-11","38","27","28"
"USC00309593","WYOMING 3 W, NY US","2020-04-12","42","28","38"
"USC00309593","WYOMING 3 W, NY US","2020-04-13","61","37","56"
"USC00309593","WYOMING 3 W, NY US","2020-04-14","63","29","31"
"USC00309593","WYOMING 3 W, NY US","2020-04-15","41","26","27"
"USC00309593","WYOMING 3 W, NY US","2020-04-16","38","18","19"
"USC00309593","WYOMING 3 W, NY US","2020-04-17","35","18","25"
"USC00309593","WYOMING 3 W, NY US","2020-04-18","37","24","30"
"USC00309593","WYOMING 3 W, NY US","2020-04-19","42","29","40"
"USC00309593","WYOMING 3 W, NY US","2020-04-20","53","27","29"
"USC00309593","WYOMING 3 W, NY US","2020-04-21","48","28","39"
"USC00309593","WYOMING 3 W, NY US","2020-04-22","40","24","25"
"USC00309593","WYOMING 3 W, NY US","2020-04-23","35","24","29"
"USC00309593","WYOMING 3 W, NY US","2020-04-24","37","28","37"
"USC00309593","WYOMING 3 W, NY US","2020-04-25","51","29","31"
"USC00309593","WYOMING 3 W, NY US","2020-04-26","56","30","41"
"USC00309593","WYOMING 3 W, NY US","2020-04-27","42","37","38"
"USC00309593","WYOMING 3 W, NY US","2020-04-28","48","35","40"
"USC00309593","WYOMING 3 W, NY US","2020-04-29","57","39","45"
"USC00309593","WYOMING 3 W, NY US","2020-04-30","63","44","57"
"USC00309593","WYOMING 3 W, NY US","2020-05-01","57","40","43"
"USC00309593","WYOMING 3 W, NY US","2020-05-02","50","41","42"
"USC00309593","WYOMING 3 W, NY US","2020-05-03","64","41","49"
"USC00309593","WYOMING 3 W, NY US","2020-05-04","70","43","43"
"USC00309593","WYOMING 3 W, NY US","2020-05-05","46","27","30"
"USC00309593","WYOMING 3 W, NY US","2020-05-06","50","29","35"
"USC00309593","WYOMING 3 W, NY US","2020-05-07","49","34","37"
"USC00309593","WYOMING 3 W, NY US","2020-05-08","55","30","34"
"USC00309593","WYOMING 3 W, NY US","2020-05-09","40","23","25"
"USC00309593","WYOMING 3 W, NY US","2020-05-10","35","25","35"
"USC00309593","WYOMING 3 W, NY US","2020-05-11","54","35","42"
"USC00309593","WYOMING 3 W, NY US","2020-05-12","42","27","29"
"USC00309593","WYOMING 3 W, NY US","2020-05-13","45","26","29"
"USC00309593","WYOMING 3 W, NY US","2020-05-14","52","27","44"
"USC00309593","WYOMING 3 W, NY US","2020-05-15","66","44","60"
"USC00309593","WYOMING 3 W, NY US","2020-05-16","75","44","46"
"USC00309593","WYOMING 3 W, NY US","2020-05-17","61","42","47"
"USC00309593","WYOMING 3 W, NY US","2020-05-18","64","46","54"
"USC00309593","WYOMING 3 W, NY US","2020-05-19","54","52","54"
"USC00309593","WYOMING 3 W, NY US","2020-05-20","69","47","50"
"USC00309593","WYOMING 3 W, NY US","2020-05-21","70","45","57"
"USC00309593","WYOMING 3 W, NY US","2020-05-22","75","47","58"
"USC00309593","WYOMING 3 W, NY US","2020-05-23","75","57","58"
"USC00309593","WYOMING 3 W, NY US","2020-05-24","74","58","63"
"USC00309593","WYOMING 3 W, NY US","2020-05-25",,,
"USC00309593","WYOMING 3 W, NY US","2020-05-26","84","60","67"
"USC00309593","WYOMING 3 W, NY US","2020-05-27","89","67","69"
