"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-01","52","60","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-02","60","65","59"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-03","61","69","52"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-04","55","69","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-05","55","74","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-06","60","75","45"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-07","60","68","41"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-08","49","68","35"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-09","65","75","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-10","73","76","70"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-11","61","69","39"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-12","43","57","34"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-13","54","64","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-14","69","79","64"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-15","73","81","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-16","72","77","64"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-17","65","72","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-18","69","74","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-19","55","63","44"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-20","50","62","38"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-21","48","61","35"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-22","50","60","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-23","59","61","46"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-24","52","67","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-25","52","66","41"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-26","63","75","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-27","57","62","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-28","57","63","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-29","51","55","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-30","51","56","49"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-01-31","53","61","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-01","52","69","41"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-02","58","76","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-03","65","76","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-04","72","80","59"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-05","55","59","41"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-06","43","52","36"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-07","49","72","33"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-08","60","73","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-09","65","73","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-10","73","78","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-11","56","57","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-12","54","57","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-13","51","60","42"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-14","47","62","36"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-15","51","67","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-16","63","72","59"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-17","67","81","58"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-18","73","79","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-19","60","60","51"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-20","50","51","45"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-21","47","57","39"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-22","48","64","37"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-23","58","68","49"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-24","66","73","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-25","60","73","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-26","54","57","42"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-27","46","61","32"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-28","53","74","39"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-02-29","57","75","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-01","66","72","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-02","70","81","66"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-03","74","84","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-04","70","76","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-05","61","75","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-06","62","74","49"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-07","55","62","42"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-08","58","73","46"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-09","67","74","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-10","71","82","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-11","71","83","59"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-12","74","84","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-13","74","83","70"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-14","75","82","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-15","75","84","65"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-16","70","76","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-17","73","85","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-18","75","83","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-19","77","85","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-20","73","76","56"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-21","58","61","54"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-22","63","78","58"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2020-03-23","76","86","69"
